"tag","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Electronic","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Rock","2","3","3","3","3","3","3","4","7","3","5","4","6","8","9","9","4","4","6"
"Indie","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3"
"Bossa Nova","4","14","16","26","","","","","","","","","","","","","","",""
"New Wave","5","19","25","","","","","","","","26","20","18","14","22","14","15","16","19"
"Alternative","6","9","10","10","9","15","15","23","","","","26","","","","20","23","25","10"
"Classic Rock","7","10","8","7","12","12","21","25","26","18","19","27","","21","28","","","29",""
"Jazz","8","5","7","6","10","10","7","6","12","4","6","7","3","5","6","8","7","12","13"
"Hip-Hop","9","11","12","13","6","5","5","3","8","6","9","10","5","4","4","7","6","8","7"
"Pop","10","16","9","11","5","6","10","11","17","10","8","8","12","12","18","19","12","9","15"
"Punk","11","28","","30","23","26","29","","","","","","","","","","","",""
"Singer-songwriter","12","15","28","12","11","8","14","17","16","27","12","12","22","29","30","29","17","",""
"Mpb","13","26","","","","","","","","","","","","","","","","",""
"Punk Rock","14","","23","","14","27","20","","","","","","","","","","","18","28"
"Trance","15","13","11","15","21","13","8","12","","20","23","13","","22","","","16","7",""
"Trip-hop","16","4","5","4","17","16","11","20","21","21","","28","16","25","12","12","18","23",""
"Rock Catala","17","","","","","24","13","","25","25","","","23","27","15","28","24","",""
"Ska","18","","22","24","20","22","26","21","","","","","","","","","","",""
"House","19","6","4","5","4","4","4","5","3","5","3","3","4","3","3","3","3","5","2"
"Funk","20","20","19","23","22","25","19","","22","14","24","11","13","18","21","15","11","20","18"
"Britpop","21","18","13","9","8","19","22","26","","12","29","19","","","","","","15","14"
"Chillout","22","8","6","8","28","28","","19","23","","25","17","15","17","14","26","20","",""
"Alt-country","23","","","","","","","","","","","","","","","","","",""
"Folk","24","23","","","13","9","9","7","4","7","4","5","7","7","7","5","9","11","16"
"Heavy Metal","25","","","","","","","","","","","","","","","","","",""
"Grunge","26","","","","","","","","","","","29","","","","","","",""
"Reggae","27","","27","16","19","21","30","27","","","16","18","17","","29","","27","",""
"Dance","28","","","22","","30","","","","","","","","","","","","",""
"Techno","29","","","27","18","17","17","10","27","","","","29","13","20","17","22","13","11"
"Celtic","30","","","","","","","","","","","","","","","","","",""
"Ambient","","7","18","","","","27","","14","13","17","21","10","15","19","4","8","6","5"
"Downtempo","","12","15","14","","","","","","","","","25","","","","","",""
"Spoken Word","","17","21","","","","","","","","","","","","","","","",""
"Soul","","21","30","28","15","20","12","13","5","9","10","9","9","9","16","13","14","17","26"
"Alternative Rock","","22","17","20","24","7","24","22","28","15","13","23","","","","","","","8"
"Instrumental","","24","26","29","26","","","15","10","26","14","22","8","23","24","18","","","22"
"Acid Jazz","","25","24","19","","","","","","","","30","","","","","","",""
"Classical","","27","29","","30","","16","24","30","","","","","","","16","","26","21"
"Post-rock","","29","","","","","","","","","","","","","","23","30","21","20"
"Progressive Rock","","30","","","","","","","","","","","","","","","","",""
"Lounge","","","14","18","","","","","","","","","","","","","","",""
"Indie Rock","","","20","17","7","11","6","9","13","11","7","6","11","6","11","6","5","3","4"
"Minimal","","","","21","","18","25","8","6","16","11","14","26","16","8","10","10","14","9"
"Electro","","","","25","25","14","18","18","15","","","24","","","","24","29","28","23"
"Drum And Bass","","","","","16","","","","20","8","15","16","27","28","","","","10",""
"Post-punk","","","","","27","","","","","","","","","","","","","30","17"
"New Rave","","","","","29","","","","","","","","","","","","","",""
"Fusion","","","","","","23","","","","","","","","","","","","",""
"Cantautor","","","","","","29","","","","","","","","","","","","",""
"Indie Pop","","","","","","","23","14","18","19","30","25","14","24","23","25","28","27",""
"Progressive House","","","","","","","28","","","","","","","","","","","",""
"Dubstep","","","","","","","","16","11","24","28","","","","25","","","",""
"Deep House","","","","","","","","28","19","29","20","15","21","20","17","11","13","22","12"
"Dub","","","","","","","","29","","","","","","","","","","",""
"Experimental","","","","","","","","30","","","","","","","","","","","29"
"Blues","","","","","","","","","9","17","18","","24","","","","","",""
"Synthpop","","","","","","","","","24","","","","","","","","","",""
"Video Game Music","","","","","","","","","29","","","","","","","","","",""
"Meditation","","","","","","","","","","22","","","","","","","","",""
"Rnb","","","","","","","","","","23","21","","","","","","","","30"
"Psychedelic Rock","","","","","","","","","","28","","","","","","","26","24",""
"Acoustic","","","","","","","","","","30","27","","","","","","","",""
"Rumba","","","","","","","","","","","22","","","","","","","",""
"Beats","","","","","","","","","","","","","19","11","5","27","","",""
"Instrumental Hip-hop","","","","","","","","","","","","","20","19","13","30","","",""
"Piano","","","","","","","","","","","","","28","","","","","","24"
"Psychedelic","","","","","","","","","","","","","30","","","","","",""
"Lo-Fi","","","","","","","","","","","","","","10","10","22","21","","25"
"Garage Rock","","","","","","","","","","","","","","26","","21","19","",""
"Bedroom Pop","","","","","","","","","","","","","","30","","","","",""
"Blues Rock","","","","","","","","","","","","","","","26","","25","19",""
"Chillhop","","","","","","","","","","","","","","","27","","","",""
"Tech House","","","","","","","","","","","","","","","","","","","27"
